"_uid","status","created_at","updated_at","expiry",read_status,"award_id","customer_id","pin_num","serial_num",value,"customer_award_id","reward_cycle_instance_id",clearbridge_appuser_id,user_selected_level,"postal_code",age,"award_type","award_code",sequence_number,"start_timestamp","end_timestamp",days_valid,num_ballots,"program_id",earn_multiple_allowed,"award_class",minutes_required,"program_name","start_cycle","end_cycle","program_type"
"0003416003db11e984e90242ac130005","initialized","2018-12-19 22:11:14.444840","2018-12-19 22:11:14.444892",NULL,0,"95d8fb48fe3211e8aa960242ac130005","e81f56ba03da11e9896a0242ac130005",NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,"badge","view_videos",0,"2018-12-12 17:22:11.000000",NULL,NULL,50,"f87c2ba6fe2f11e885000242ac130005",1,"engagement",NULL,"2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar"
"000e926803db11e9896b0242ac130005","initialized","2018-12-19 22:11:14.519019","2018-12-19 22:11:14.519079",NULL,0,"53ba51eefe3211e8b2f50242ac130005","e81f56ba03da11e9896a0242ac130005",NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,"badge","answer_questions",0,"2018-12-12 17:20:12.000000",NULL,NULL,50,"f87c2ba6fe2f11e885000242ac130005",1,"engagement",NULL,"2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar"
"000e931c03db11e984e90242ac130005","initialized","2018-12-19 22:11:14.518947","2018-12-19 22:11:14.518987",NULL,0,"2ef8e1c2fe3211e889010242ac130005","e81f56ba03da11e9896a0242ac130005",NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,"badge","take_ten",0,"2018-12-12 17:19:18.000000",NULL,NULL,10,"f87c2ba6fe2f11e885000242ac130005",1,"engagement",NULL,"2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar"
"0016cbb803db11e984e90242ac130005","initialized","2018-12-19 22:11:14.572868","2018-12-19 22:11:14.572907",NULL,0,"0e7f0c32fe3211e8ba830242ac130005","e81f56ba03da11e9896a0242ac130005",NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,"badge","app_open",0,"2018-12-12 17:18:03.000000",NULL,1,10,"f87c2ba6fe2f11e885000242ac130005",0,"engagement",NULL,"2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar"
"001b512e03db11e9896b0242ac130005","earned","2018-12-19 22:11:14.602616","2018-12-19 22:11:14.650465","2019-12-12 17:04:09.000000",0,"e239fceafe3111e88da60242ac130005","e84c8dc403da11e984e90242ac130005",NULL,NULL,100,"001b512e03db11e9896b0242ac130005","20b2817a03d911e983bc0242ac130004",15,NULL,NULL,NULL,"badge","onboarding_completed",0,"2018-12-12 17:16:35.000000",NULL,NULL,100,"f87c2ba6fe2f11e885000242ac130005",0,"engagement",NULL,"2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar"
"001b512e03db11e9896b0242ac130005","earned","2018-12-19 22:11:14.602616","2018-12-19 22:11:14.650465","2019-12-12 17:04:09.000000",0,"e239fceafe3111e88da60242ac130005","e84c8dc403da11e984e90242ac130005",NULL,NULL,100,"001b512e03db11e9896b0242ac130005","2ff07e5803d911e98abc0242ac130004",15,NULL,NULL,NULL,"badge","onboarding_completed",0,"2018-12-12 17:16:35.000000",NULL,NULL,100,"f87c2ba6fe2f11e885000242ac130005",0,"engagement",NULL,"2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar"
"001b512e03db11e9896b0242ac130005","earned","2018-12-19 22:11:14.602616","2018-12-19 22:11:14.650465","2019-12-12 17:04:09.000000",0,"e239fceafe3111e88da60242ac130005","e84c8dc403da11e984e90242ac130005",NULL,NULL,100,"001b512e03db11e9896b0242ac130005","39a9fa8c03d911e984180242ac130004",15,NULL,NULL,NULL,"badge","onboarding_completed",0,"2018-12-12 17:16:35.000000",NULL,NULL,100,"f87c2ba6fe2f11e885000242ac130005",0,"engagement",NULL,"2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar"
"001b512e03db11e9896b0242ac130005","earned","2018-12-19 22:11:14.602616","2018-12-19 22:11:14.650465","2019-12-12 17:04:09.000000",0,"e239fceafe3111e88da60242ac130005","e84c8dc403da11e984e90242ac130005",NULL,NULL,100,"001b512e03db11e9896b0242ac130005","454373c803d911e9b2bc0242ac130004",15,NULL,NULL,NULL,"badge","onboarding_completed",0,"2018-12-12 17:16:35.000000",NULL,NULL,100,"f87c2ba6fe2f11e885000242ac130005",0,"engagement",NULL,"2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar"
"0021928c03db11e984e90242ac130005","earned","2018-12-19 22:11:14.643433","2018-12-19 22:11:14.674376","2018-12-26 22:11:14.671225",0,"602c0298fe3111e880e80242ac130005","e84c8dc403da11e984e90242ac130005",NULL,NULL,100,"0021928c03db11e984e90242ac130005","20b2817a03d911e983bc0242ac130004",15,NULL,NULL,NULL,"badge","weekly1",0,"2018-12-12 17:12:21.000000",NULL,7,100,"f87c2ba6fe2f11e885000242ac130005",0,"activity",NULL,"2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar"
"0021928c03db11e984e90242ac130005","earned","2018-12-19 22:11:14.643433","2018-12-19 22:11:14.674376","2018-12-26 22:11:14.671225",0,"602c0298fe3111e880e80242ac130005","e84c8dc403da11e984e90242ac130005",NULL,NULL,100,"0021928c03db11e984e90242ac130005","2ff07e5803d911e98abc0242ac130004",15,NULL,NULL,NULL,"badge","weekly1",0,"2018-12-12 17:12:21.000000",NULL,7,100,"f87c2ba6fe2f11e885000242ac130005",0,"activity",NULL,"2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar"
"0021928c03db11e984e90242ac130005","earned","2018-12-19 22:11:14.643433","2018-12-19 22:11:14.674376","2018-12-26 22:11:14.671225",0,"602c0298fe3111e880e80242ac130005","e84c8dc403da11e984e90242ac130005",NULL,NULL,100,"0021928c03db11e984e90242ac130005","39a9fa8c03d911e984180242ac130004",15,NULL,NULL,NULL,"badge","weekly1",0,"2018-12-12 17:12:21.000000",NULL,7,100,"f87c2ba6fe2f11e885000242ac130005",0,"activity",NULL,"2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar"
