coupon_id,coupon_code,coupon_pin,coupon_created,coupon_assigned,coupon_updated,coupon_customer_award_id,reward_cycle_id,reward_cycle_instance_id,coupon_status,coupon_award_created_at,coupon_award_updated_at,coupon_award_id,coupon_reward_code,program_id,reward_cycle_type,reward_cycle_cadence,reward_cycle_unit,winners_per_draw,reward_cycle_sequence,reward_cycle_starting_date,reward_cycle_ending_date,reward_cycle_num,name,reward_cycle_short_description,reward_cycle_long_description,program_name,program_start_cycle,program_end_cycle,program_type,customer_id,ballot_id,value,ballot_created_at,ballot_updated_at,ballot_customer_award_id,ballot_award_id,ballot_award_created,ballot_award_updated,ballot_award_status,ballot_award_expiry,ballot_award_type,ballot_award_code,ballot_award_days_valid,num_ballots,ballot_award_class,ballot_award_minutes_required,clearbridge_appuser_id,user_selected_level,postal_code,age
2b4bc4c0145a11e9b06f0242ac120008,526092968,247,2019-01-09,2019-01-09,2019-01-09,db3103b0146811e9a81c0242ac120008,c4ffd80003d811e9ac140242ac130004,20b2817a03d911e983bc0242ac130004,Earned,46:59.8,46:59.8,361415ca02ed11e9bc730242ac130006,weekly_coupon_reward,f87c2ba6fe2f11e885000242ac130005,weekly,7,days,100,0,57:28.0,57:45.0,1,Weekly Draw,Copy TBD,Win a $100 tim hortons gift card!,2018 - Loyalty 1.0,04:09.0,04:09.0,calendar,ebb893cc03da11e984e90242ac130005,06cb1be403db11e984e90242ac130005,100,43453.9246,43453.9246,06c27ee403db11e984e90242ac130005,602c0298fe3111e880e80242ac130005,11:25.8,11:25.8,earned,11:25.8,badge,weekly1,7,100,activity,,43,4,L2G1G3,40
2b4bc4c0145a11e9b06f0242ac120008,526092968,247,2019-01-09,2019-01-09,2019-01-09,db3103b0146811e9a81c0242ac120008,c4ffd80003d811e9ac140242ac130004,20b2817a03d911e983bc0242ac130004,Earned,46:59.8,46:59.8,361415ca02ed11e9bc730242ac130006,weekly_coupon_reward,f87c2ba6fe2f11e885000242ac130005,weekly,7,days,100,0,57:28.0,57:45.0,1,Weekly Draw,Copy TBD,Win a $100 tim hortons gift card!,2018 - Loyalty 1.0,04:09.0,04:09.0,calendar,ebb893cc03da11e984e90242ac130005,06cb2b9803db11e9896b0242ac130005,100,43453.9246,43453.9246,06c0acae03db11e9896b0242ac130005,e239fceafe3111e88da60242ac130005,11:25.8,11:25.8,earned,04:09.0,badge,onboarding_completed,,100,engagement,,43,4,L2G1G3,40
2b4cbc4a145a11e9b06f0242ac120008,509224203,406,2019-01-09,2019-01-09,2019-01-09,db37dfd2146811e9a81c0242ac120008,c4ffd80003d811e9ac140242ac130004,20b2817a03d911e983bc0242ac130004,Earned,46:59.9,46:59.9,361415ca02ed11e9bc730242ac130006,weekly_coupon_reward,f87c2ba6fe2f11e885000242ac130005,weekly,7,days,100,0,57:28.0,57:45.0,1,Weekly Draw,Copy TBD,Win a $100 tim hortons gift card!,2018 - Loyalty 1.0,04:09.0,04:09.0,calendar,e9580b3003da11e984e90242ac130005,0295eaea03db11e984e90242ac130005,100,43453.92452,43453.92452,0285d48e03db11e984e90242ac130005,e239fceafe3111e88da60242ac130005,11:18.7,11:18.7,earned,04:09.0,badge,onboarding_completed,,100,engagement,,24,8,M4Y1T1,14
2b4cbc4a145a11e9b06f0242ac120008,509224203,406,2019-01-09,2019-01-09,2019-01-09,db37dfd2146811e9a81c0242ac120008,c4ffd80003d811e9ac140242ac130004,20b2817a03d911e983bc0242ac130004,Earned,46:59.9,46:59.9,361415ca02ed11e9bc730242ac130006,weekly_coupon_reward,f87c2ba6fe2f11e885000242ac130005,weekly,7,days,100,0,57:28.0,57:45.0,1,Weekly Draw,Copy TBD,Win a $100 tim hortons gift card!,2018 - Loyalty 1.0,04:09.0,04:09.0,calendar,e9580b3003da11e984e90242ac130005,0296653803db11e9896b0242ac130005,100,43453.92452,43453.92452,028a9a0003db11e9896b0242ac130005,602c0298fe3111e880e80242ac130005,11:18.7,11:18.7,earned,11:18.7,badge,weekly1,7,100,activity,,24,8,M4Y1T1,14
2b4d590c145a11e9b06f0242ac120008,349682173,441,2019-01-09,2019-01-09,2019-01-09,db3fe7fe146811e9a81c0242ac120008,c4ffd80003d811e9ac140242ac130004,20b2817a03d911e983bc0242ac130004,Earned,46:59.9,46:59.9,361415ca02ed11e9bc730242ac130006,weekly_coupon_reward,f87c2ba6fe2f11e885000242ac130005,weekly,7,days,100,0,57:28.0,57:45.0,1,Weekly Draw,Copy TBD,Win a $100 tim hortons gift card!,2018 - Loyalty 1.0,04:09.0,04:09.0,calendar,ec9eb61803da11e9896a0242ac130005,0938aaf403db11e984e90242ac130005,100,43453.92465,43453.92465,092eec3a03db11e984e90242ac130005,e239fceafe3111e88da60242ac130005,11:29.8,11:29.9,earned,04:09.0,badge,onboarding_completed,,100,engagement,,51,4,L2H2H1,27
2b4d590c145a11e9b06f0242ac120008,349682173,441,2019-01-09,2019-01-09,2019-01-09,db3fe7fe146811e9a81c0242ac120008,c4ffd80003d811e9ac140242ac130004,20b2817a03d911e983bc0242ac130004,Earned,46:59.9,46:59.9,361415ca02ed11e9bc730242ac130006,weekly_coupon_reward,f87c2ba6fe2f11e885000242ac130005,weekly,7,days,100,0,57:28.0,57:45.0,1,Weekly Draw,Copy TBD,Win a $100 tim hortons gift card!,2018 - Loyalty 1.0,04:09.0,04:09.0,calendar,ec9eb61803da11e9896a0242ac130005,093ad1ee03db11e9896b0242ac130005,100,43453.92465,43453.92465,0933941a03db11e9896b0242ac130005,602c0298fe3111e880e80242ac130005,11:29.9,11:29.9,earned,11:29.9,badge,weekly1,7,100,activity,,51,4,L2H2H1,27
2b4dfe3e145a11e9b06f0242ac120008,180185226,681,2019-01-09,2019-01-09,2019-01-09,db45afcc146811e9a81c0242ac120008,c4ffd80003d811e9ac140242ac130004,20b2817a03d911e983bc0242ac130004,Earned,46:59.9,46:59.9,361415ca02ed11e9bc730242ac130006,weekly_coupon_reward,f87c2ba6fe2f11e885000242ac130005,weekly,7,days,100,0,57:28.0,57:45.0,1,Weekly Draw,Copy TBD,Win a $100 tim hortons gift card!,2018 - Loyalty 1.0,04:09.0,04:09.0,calendar,7518eaa0054c11e987410242ac180004,8243cb78054c11e985fb0242ac180004,100,43455.76131,43455.76131,8118a4a8054c11e985fb0242ac180004,e239fceafe3111e88da60242ac130005,16:15.3,16:16.7,earned,04:09.0,badge,onboarding_completed,,100,engagement,,58,1,M5V1X9,25
2b4dfe3e145a11e9b06f0242ac120008,180185226,681,2019-01-09,2019-01-09,2019-01-09,db45afcc146811e9a81c0242ac120008,c4ffd80003d811e9ac140242ac130004,20b2817a03d911e983bc0242ac130004,Earned,46:59.9,46:59.9,361415ca02ed11e9bc730242ac130006,weekly_coupon_reward,f87c2ba6fe2f11e885000242ac130005,weekly,7,days,100,0,57:28.0,57:45.0,1,Weekly Draw,Copy TBD,Win a $100 tim hortons gift card!,2018 - Loyalty 1.0,04:09.0,04:09.0,calendar,7518eaa0054c11e987410242ac180004,835b60e8054c11e987410242ac180004,100,43455.76133,43455.76133,82327d82054c11e987410242ac180004,602c0298fe3111e880e80242ac130005,16:17.2,16:18.5,earned,16:18.4,badge,weekly1,7,100,activity,,58,1,M5V1X9,25
2b4ec508145a11e9b06f0242ac120008,784071697,608,2019-01-09,2019-01-09,2019-01-09,db4afc70146811e9a81c0242ac120008,c4ffd80003d811e9ac140242ac130004,20b2817a03d911e983bc0242ac130004,Earned,47:00.0,47:00.0,361415ca02ed11e9bc730242ac130006,weekly_coupon_reward,f87c2ba6fe2f11e885000242ac130005,weekly,7,days,100,0,57:28.0,57:45.0,1,Weekly Draw,Copy TBD,Win a $100 tim hortons gift card!,2018 - Loyalty 1.0,04:09.0,04:09.0,calendar,455743f0056c11e98b860242ac190004,5a84cbc6056c11e98b860242ac190004,10,43455.91961,43455.91961,5948ec60056c11e98b860242ac190004,0e7f0c32fe3211e8ba830242ac130005,04:12.4,04:13.8,earned,04:13.7,badge,app_open,1,10,engagement,,2,5,L5R0C8,34
2b4ec508145a11e9b06f0242ac120008,784071697,608,2019-01-09,2019-01-09,2019-01-09,db4afc70146811e9a81c0242ac120008,c4ffd80003d811e9ac140242ac130004,20b2817a03d911e983bc0242ac130004,Earned,47:00.0,47:00.0,361415ca02ed11e9bc730242ac130006,weekly_coupon_reward,f87c2ba6fe2f11e885000242ac130005,weekly,7,days,100,0,57:28.0,57:45.0,1,Weekly Draw,Copy TBD,Win a $100 tim hortons gift card!,2018 - Loyalty 1.0,04:09.0,04:09.0,calendar,455743f0056c11e98b860242ac190004,528a1020056c11e9acd20242ac190004,100,43455.91946,43455.91946,515c0276056c11e9acd20242ac190004,e239fceafe3111e88da60242ac130005,03:59.1,04:00.5,earned,04:09.0,badge,onboarding_completed,,100,engagement,,2,5,L5R0C8,34
